Book Name,Book Author,Book Rating,Users Rated,Book Price
"My Life in Full: Work, Family, and Our Future (With a special Epilogue for India)",Indra K. Nooyi,3.6 out of 5 stars,14,₹475.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"18,131",₹239.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"23,858",₹237.00
400 Days,Chetan Bhagat,-1,0,₹188.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"25,960",₹445.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"37,596",₹385.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"29,059",₹98.00
"Educart TERM 1 MCQ Question Bank Class 10 Bundle 2022 - Maths, Science, English & SST Books (Based on New MCQs Type…",Educart,4.2 out of 5 stars,501,₹470.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"47,989",₹289.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"65,417",₹157.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"13,612",₹90.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"13,139",₹296.00
"Educart CBSE Term 1 Sample Papers Class 10 Bundle of Science, Math Standard, Social Science & English Books For 2022…",Shubham Pathak,4.9 out of 5 stars,23,₹493.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"35,209",₹135.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10, Science (With the largest MCQ Questions Pool for 2021-22 Exam)",Oswaal Editorial Board,4.3 out of 5 stars,155,₹143.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"11,049",₹195.00
"Oswaal CBSE MCQs Chapterwise Question Bank For Term I & II, Class 10, English Language & Literature (With the largest…",Oswaal Editorial Board,4.3 out of 5 stars,128,₹173.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"19,190",₹400.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10 (Set of 3 Books) Mathematics (Standard), Science, Social Science…",Oswaal Editorial Board,4.2 out of 5 stars,288,₹385.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"9,903",₹171.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,"1,854",₹126.00
"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,4.9 out of 5 stars,714,₹558.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"38,225",₹295.00
Pathfinder NDA/NA National Defence Academy & Naval Academy Entrance Examination,Arihant Experts,4.4 out of 5 stars,"2,116",₹439.00
Chapterwise MCQs Bundle For ICSE Class 10 Semester I Exam 2021 : 2000+ New Pattern Questions (Set Of 2 Books),Oswal - Gurukul,4.1 out of 5 stars,53,₹830.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"11,598",₹85.00
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,4.6 out of 5 stars,"2,485",₹194.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"28,287",₹363.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"5,298",₹292.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10, Mathematics (Standard) (With the largest MCQ Questions Pool for…",Oswaal Editorial Board,4.2 out of 5 stars,133,₹147.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,"4,789",₹94.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.5 out of 5 stars,"2,245",₹236.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"42,080",₹119.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"52,934",₹307.00
Diamonds in the Dust: Consistent Compounding for Extraordinary Wealth Creation,Saurabh Mukherjea,4.5 out of 5 stars,262,₹381.00
"Educart ICSE Semester 1 MCQ Sample Papers Books Main Subjects Bundle Class 10 - English 1 & 2, Maths, Physics, Chemistry…",Educart,4.7 out of 5 stars,36,₹880.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,"4,120",₹117.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10, Social Science (With the largest MCQ Questions Pool for 2021-22…",Oswaal Editorial Board,4.2 out of 5 stars,108,₹147.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,"2,342",₹225.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"5,194",₹545.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"16,413",₹565.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"11,715",₹130.00
Very First Sight Words Sentences Level 1,Dreamland Publications,4.5 out of 5 stars,"6,772",₹120.00
CBSE MCQ Bank Science Class 10 Term 1,www.cbse.online,4.6 out of 5 stars,33,₹370.00
"Chapterwise MCQs Book for ICSE Class 10 Semester I Exam 2021 : 2000+ New Pattern Questions (Physics, Chemistry, Maths…",Oswal - Gurukul,3.9 out of 5 stars,76,₹431.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 12, English Core (With the largest MCQ Question Pool for 2021-22…",Oswaal Editorial Board,4.4 out of 5 stars,71,₹193.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"11,256",₹215.00
The Everyday Hero Manifesto,Robin Sharma,4.7 out of 5 stars,78,₹284.00
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"22,241",₹94.00
CBSE MCQ Bank Mathematics Class 10 Term 1,www.cbse.online,4.5 out of 5 stars,39,₹390.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"18,094",₹261.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,"2,185",₹474.00
"Chapterwise MCQs Book for ICSE Class 10 Semester I Exam 2021 : 2000+ New Pattern Questions (Hindi, English I, English II…",Oswal - Gurukul,4.0 out of 5 stars,70,₹341.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"7,106",₹105.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.3 out of 5 stars,"6,048",₹159.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"77,499",₹244.00
Āmnāya Publication RRB NTPC CBT-2 Complete Book by Sahil Sir Hindi - English,Sahil khandelwal,4.8 out of 5 stars,9,₹299.00
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,"14,802",₹98.00
Mindset: Changing The Way You think To Fulfil Your Potential,Carol Dweck,4.5 out of 5 stars,"1,115",₹340.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"4,780",₹56.00
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.5 out of 5 stars,"8,553",₹247.00
"Zero to One: Notes on Start Ups, or How to Build the Future",Peter Thiel,4.5 out of 5 stars,"10,497",₹288.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"17,650",₹135.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"9,083",₹239.00
CBSE New Pattern Mathematics Class 12 for 2021-22 Exam (MCQs based book for Term 1),Raju Regar Sagar Verma,4.3 out of 5 stars,49,₹104.00
"Xam Idea CBSE MCQs Chapterwise For Term I, Class 10 Science (With massive Question Bank and OMR Sheets for real-time…",Xamidea Editorial Board,4.5 out of 5 stars,47,₹174.00
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read…",Sadhguru,4.7 out of 5 stars,"5,298",₹180.00
Wuthering Heights,Emily Brontë,4.5 out of 5 stars,"13,779",₹94.00
CBSE New Pattern Science Class 10 for 2021-22 Exam (MCQs based book for Term 1),Juhi Bhatia Manish Dangwal,4.6 out of 5 stars,57,₹101.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.5 out of 5 stars,"20,557",₹322.00
CBSE New Pattern Mathematics Class 10 for 2021-22 Exam (MCQs based book for Term 1),A. K. Singh V. K. Mehta,4.7 out of 5 stars,57,₹145.00
One Arranged Murder,Chetan Bhagat,4.4 out of 5 stars,"14,929",₹128.00
Coffee Can Investing: The Low Risk Road to Stupendous Wealth,Saurabh Mukherjea,4.5 out of 5 stars,"1,868",₹266.00
"Story Books for Little Kids - Fairy Tales (Illustrated) (Set of 12 Books) - Rapunzel, Puss in Boots, Little Red Cap…",Maple Press,4.4 out of 5 stars,"1,266",₹182.00
Wren & Martin High School English Grammar And Composition Book (Regular Edition),Rao N,4.5 out of 5 stars,"6,851",₹238.00
CBSE New Pattern Physics Class 12 for 2021-22 Exam (MCQs based book for Term 1),Naman Jain,4.6 out of 5 stars,54,₹101.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"55,474",₹85.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"8,350",₹66.00
A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"8,635",₹510.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"4,512",₹130.00
"Environment - 8/edition, 2021",Shankar,4.0 out of 5 stars,682,₹376.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5 out of 5 stars,"11,470",₹129.00
"Xam Idea CBSE MCQs Chapterwise For Term I, Class 10 Mathematics, Science & Social Science (Set of 3) (With massive…",Xamidea Editorial Board,4.2 out of 5 stars,24,₹499.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"4,946",₹499.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"31,440",₹257.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"5,226",₹94.00
"INDIAN ECONOMY For Civil Services, Universities and Other Examinations | 13th Edition",RAMESH SINGH,4.4 out of 5 stars,823,₹447.00
T.S. Grewal's An Aid to Accountancy for CBSE class 12 (Term1) 2021-22 Examination,R. K. Khosla T. S. Grewal,3.6 out of 5 stars,6,₹192.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"16,079",₹151.00
Whisper to Me Your Lies,Novoneel Chakraborty,-1,0,₹199.00
Why I am an Atheist and Other Works,Bhagat Singh,4.6 out of 5 stars,"3,109",₹87.00
CBSE New Pattern Chemistry Class 12 for 2021-22 Exam (MCQs based book for Term 1),Abhishek Kaushik & Mahendra Rathod,4.5 out of 5 stars,52,₹121.00
Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,Brijbhoomi Books And Handicrafts,4.7 out of 5 stars,"9,948",₹140.00
"Chapterwise Objective MCQs Book for CBSE Class 10 Term I Exam : 3000+ Questions (Case Study, Multiple Choice) - English…",Gurukul,4.1 out of 5 stars,46,₹372.00
Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5 out of 5 stars,"1,913",₹425.00
